Timestamp,Username,First Name,Last Name,Participation,Enthusiasm,Communication,Overall Leadership,Something you felt they did well (ONE SENTENCE!),How you feel they could improve (ONE SENTENCE!)
2025/10/03 12:13:52 PM AST,chaichai28@Midlandps.org,Raymond,Chai,1,4,5,1,Good,bad
2025/10/03 12:13:52 PM AST,chaichai28@Midlandps.org,Raymond,Chai,1,2,3,5,Great,shit
2025/10/03 12:13:52 PM AST,chaichai28@Midlandps.org,Raymond,Chai,3,1,2,4,Awesome,trash
2025/10/03 12:13:52 PM AST,chaichai28@Midlandps.org,Jessica,Chai,1,4,5,1,Nice,loser
2025/10/03 12:13:52 PM AST,chaichai28@Midlandps.org,Jessica,Chai,1,2,3,5,cool,lamo
2025/10/03 12:13:52 PM AST,chaichai28@Midlandps.org,Jessica,Chai,1,4,5,1,aura,wannabe
2025/10/03 12:13:52 PM AST,chaichai28@Midlandps.org,Raymond,Chen,1,2,3,5,sigma,mean
2025/10/03 12:13:52 PM AST,chaichai28@Midlandps.org,Raymond,Chen,3,1,2,4,amazing,annoying
2025/10/03 12:13:52 PM AST,chaichai28@Midlandps.org,Raymond,Chen,1,4,5,1,wonderful,gossiper
2025/10/03 12:13:52 PM AST,chaichai28@Midlandps.org,Raymond,Chai,1,2,3,5,powerful,coward
2025/10/03 12:13:52 PM AST,chaichai28@Midlandps.org,Jessica,Chen,3,1,2,4,honest,armored
2025/10/03 12:13:52 PM AST,chaichai28@Midlandps.org,Jessica,Chen,5,5,5,5,great,disengaged
2025/10/03 12:13:52 PM AST,chaichai28@Midlandps.org,Raymond,Chai,5,5,5,5,good,boring
